"id_paper","keywords"
1,"NLP"
4,"data management"
5,"data management"
6,"data management"
7,"data management"
8,"data management"
9,"data management"
10,"data modeling"
11,"data modeling"
12,"data management"
13,"data modeling"
14,"data management"
15,"data management"
16,"data management"
17,"data management"
18,"property graph"
19,"property graph"
20,"property graph"
21,"property graph"
22,"mathematical methods"
23,"mathematical methods"
24,"biology"
25,"mathematical methods"
26,"NLP"
27,"mathematical methods"
28,"NLP"
29,"NLP"
30,"NLP"
31,"NLP"
32,"data management"
33,"data querying"
34,"data management"
35,"NLP"
36,"data management"
37,"NLP"
38,"mathematical methods"
39,"data management"
40,"NLP"
41,"NLP"
42,"data processing"
43,"data querying"
44,"AI"
45,"data management"
46,"mathematical methods"
47,"NLP"
48,"mathematical methods"
49,"mathematical methods"
50,"data management"
51,"mathematical methods"
52,"data processing"
53,"data quality"
54,"property graph"
55,"data processing"
56,"biology"
57,"NLP"
58,"NLP"
59,"mathematical methods"
60,"property graph"
61,"data management"
62,"data processing"
63,"NLP"
64,"NLP"
65,"biology"
66,"NLP"
67,"property graph"
68,"data processing"
69,"data processing"
70,"AI"
71,"biology"
72,"AI"
73,"AI"
74,"data processing"
75,"mathematical methods"
76,"NLP"
77,"mathematical methods"
78,"mathematical methods"
79,"data quality"
80,"data storage"
81,"NLP"
82,"data storage"
83,"NLP"
84,"data processing"
85,"property graph"
86,"NLP"
87,"data management"
88,"NLP"
89,"data quality"
90,"NLP"
91,"NLP"
92,"data quality"
93,"biology"
94,"NLP"
95,"data management"
96,"biology"
97,"data processing"
98,"graph processing"
99,"NLP"
100,"data querying"
101,"mathematical methods"
102,"NLP"
103,"data modeling"
104,"mathematical methods"
105,"data processing"
106,"NLP"
107,"NLP"
108,"AI"
109,"property graph"
110,"NLP"
111,"data modeling"
112,"data quality"
113,"data processing"
114,"NLP"
115,"NLP"
116,"indexing"
117,"mathematical methods"
118,"NLP"
119,"NLP"
120,"NLP"
121,"data quality"
122,"NLP"
123,"data querying"
124,"data storage"
125,"data storage"
126,"data querying"
127,"NLP"
128,"indexing"
129,"data processing"
130,"data management"
131,"property graph"
132,"NLP"
133,"NLP"
134,"data management"
135,"mathematical methods"
136,"NLP"
137,"NLP"
138,"data storage"
139,"NLP"
140,"AI"
141,"data processing"
142,"data quality"
143,"NLP"
144,"NLP"
145,"AI"
146,"indexing"
147,"biology"
148,"data modeling"
149,"data modeling"
150,"data processing"
151,"NLP"
152,"NLP"
153,"property graph"
154,"NLP"
155,"AI"
156,"data management"
157,"NLP"
158,"NLP"
159,"data management"
160,"mathematical methods"
161,"mathematical methods"
162,"AI"
163,"NLP"
164,"data processing"
165,"NLP"
166,"NLP"
167,"data management"
168,"NLP"
169,"data processing"
170,"data processing"
171,"data modeling"
172,"NLP"
173,"mathematical methods"
174,"property graph"
175,"property graph"
176,"NLP"
177,"data processing"
178,"data processing"
179,"indexing"
180,"data querying"
181,"mathematical methods"
182,"data processing"
183,"NLP"
184,"data querying"
185,"data storage"
186,"NLP"
187,"mathematical methods"
188,"data processing"
189,"data quality"
190,"data modeling"
191,"graph processing"
192,"NLP"
193,"data management"
194,"mathematical methods"
195,"data processing"
196,"NLP"
197,"data querying"
198,"data processing"
199,"mathematical methods"
200,"data processing"
201,"NLP"
202,"indexing"
203,"data management"
204,"data processing"
205,"property graph"
